Comparison	p53Target	Ensg	GeneID	p53	TargetRegion	InteractionBait	InteractionOtherEnd	InteractionDynamism	EnrichedInGeneSet	p53EnsgGenomicDistance	H3K27acLog2FCp53	H3K27acLog2FCensg	H3K27acLog2FCenhancer	ExprLog2FCensg
Nut10h.vs.Nut0h	enhancer	ENSG00000169696	ASPSCR1	17:79914160-79914382	17:79913746-79914779	17:79933795-79937819	17:79912535-79930052	maintained	chr17q25	20012	1.08372119443393	0.178479091725992	1.08372119443393	
Nut10h.vs.Nut0h	enhancer	ENSG00000168010	ATG16L2	11:72953872-72954094	11:72953348-72954089	11:72524067-72526418	11:72951684-72954638	maintained	PGM3_TARGET_GENES	429030	0.0304440702617273	0.385212722577847	0.0449092844164826	
Nut10h.vs.Nut0h	enhancer	ENSG00000105726	ATP13A1	19:19887370-19887592	19:19886221-19888738	19:19773634-19777922	19:19885162-19889182	maintained	GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	112579	1.09303748946001	0.560890984164944	1.03997419788113	
Nut10h.vs.Nut0h	enhancer	ENSG00000119986	AVPI1	10:99461505-99461727	10:99461470-99461983	10:99445888-99447122	10:99448399-99472916	maintained	TAZ_TARGET_GENES	14136	1.79872707962018	0.734777713897794	1.79872707962018	0.360870185696666
Nut10h.vs.Nut0h	enhancer	ENSG00000050820	BCAR1	16:75339224-75339446	16:75337674-75341461	16:75274888-75302174	16:75324373-75339606	maintained		36984	0.936965333145165	0.198282149957599	0.936965333145165	
Nut10h.vs.Nut0h	enhancer	ENSG00000125864	BFSP1	20:17565048-17565270	20:17564794-17565299	20:17542510-17551506	20:17560300-17566673	gained		14894		0.69000926474837		
Nut10h.vs.Nut0h	enhancer	ENSG00000064726	BTBD1	15:84049410-84049632	15:84046988-84050193	15:83722766-83736752	15:84048335-84050465	gained	MIR3619_5P,MIR6774_5P,MIR761,MIR214_3P,MIR4291,MIR635,MIR300,MIR381_3P	313015	1.8587643201475	0.511466254598353	1.77464037160264	
Nut10h.vs.Nut0h	enhancer	ENSG00000151136	BTBD11	12:107774095-107774317	12:107773211-107774718	12:107708860-107714384	12:107765187-107777682	gained	MIR4291,MIR6885_3P,MIR4668_5P	62416	1.28850899063077	0.44334752650941	1.51751581120897	
Nut10h.vs.Nut0h	enhancer	ENSG00000133243	BTBD2	19:2089199-2089421	19:2083141-2091659	19:1998216-2019585	19:2088257-2104979	gained		54030	0.791858151710159	0.299224078617087	0.415181834432032	
Nut10h.vs.Nut0h	enhancer	ENSG00000188596	C12orf55	12:96607761-96607983	12:96607588-96610310	12:96882800-96886209	12:96597653-96608371	maintained		275077	1.02327961841689	0.910135132248166	0.803674014204433	
Nut10h.vs.Nut0h	enhancer	ENSG00000188596	C12orf55	12:96613598-96613820	12:96611374-96615523	12:96882800-96886209	12:96608933-96615877	maintained		269240	1.30673014840244	0.910135132248166	1.00813180809341	
Nut10h.vs.Nut0h	enhancer	ENSG00000159079	C21orf59	21:33758568-33758790	21:33754231-33761241	21:33755386-33767163	21:33981685-33987743	maintained	MIR708_3P,PITX1_TARGET_GENES	226897	1.3777168469573	1.07973902090309	0.82967547077358	
Nut10h.vs.Nut0h	enhancer	ENSG00000135932	CAB39	2:231658725-231658947	2:231656747-231660504	2:231577286-231579146	2:231654160-231658932	maintained	TTGGAGA_MIR5155P_MIR519E,MIR6885_3P,MIR203A_3P,MIR4495,MIR32_3P,MIR3120_3P	81676	1.5521033673743	0.540847543170105	1.04914083840531	
Nut10h.vs.Nut0h	enhancer	ENSG00000135932	CAB39	2:231658725-231658947	2:231656747-231660504	2:231577286-231579146	2:231658933-231661177	maintained	TTGGAGA_MIR5155P_MIR519E,MIR6885_3P,MIR203A_3P,MIR4495,MIR32_3P,MIR3120_3P	81676	1.5521033673743	0.540847543170105	1.04914083840531	
Nut10h.vs.Nut0h	enhancer	ENSG00000148660	CAMK2G	10:75647552-75647774	10:75645925-75651765	10:75630008-75639708	10:75641046-75649027	maintained	MIR4530,CTATGCA_MIR153,ETF_Q6,CP2_02	12920	0.9547597921231	0.65254456880488	0.369834778097832	
Nut10h.vs.Nut0h	enhancer	ENSG00000204682	CASC10	10:22025946-22026168	10:22024925-22026778	10:21781245-21789893	10:22025663-22029465	maintained		239466	1.14485635819946	0.757831110986926	1.11041767885613	
Nut10h.vs.Nut0h	enhancer	ENSG00000174898	CATSPERD	19:5696847-5697069	19:5695986-5697915	19:5672132-5706867	19:5717274-5748652	gained		23330	1.59983647035567	0.318916030961242	1.40701306231781	
Nut10h.vs.Nut0h	enhancer	ENSG00000105971	CAV2	7:115900050-115900272	7:115898236-115900979	7:116135054-116142201	7:115897798-115900070	maintained	MIR4503,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR6124,MIR32_3P,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	26873	1.53213034864711	1.27685399034388	1.39487780731806	
Nut10h.vs.Nut0h	enhancer	ENSG00000105971	CAV2	7:115900050-115900272	7:115898236-115900979	7:116135054-116142201	7:115900071-115904032	maintained	MIR4503,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR6124,MIR32_3P,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	26873	1.53213034864711	1.27685399034388	1.39487780731806	
Nut10h.vs.Nut0h	enhancer	ENSG00000105971	CAV2	7:115924554-115924776	7:115924204-115925258	7:115924625-115929514	7:116135054-116142201	maintained	MIR4503,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR6124,MIR32_3P,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	2369	1.44699522744915	1.27685399034388	1.44699522744915	
Nut10h.vs.Nut0h	enhancer	ENSG00000105971	CAV2	7:115924554-115924776	7:115924204-115925258	7:116135054-116142201	7:115923794-115924624	maintained	MIR4503,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR6124,MIR32_3P,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	2369	1.44699522744915	1.27685399034388	1.44699522744915	
Nut10h.vs.Nut0h	enhancer	ENSG00000145439	CBR4	4:170478687-170478909	4:170478041-170479403	4:169925905-169932084	4:170478123-170480459	maintained	MIR3619_5P,MIR761,MIR214_3P,GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	546972	1.40513083595458	0.599278808783506	1.06505375585983	
Nut10h.vs.Nut0h	enhancer	ENSG00000108091	CCDC6	10:61725255-61725477	10:61724397-61726339	10:61665021-61668254	10:61725221-61728223	maintained	MIR6774_5P,MIR4291,ETF_Q6,MIR142_3P,MIR4465,MIR6512_3P,MIR8057,MIR6720_5P,MIR635,MIR6124,GAGCCAG_MIR149,MIR507,CAGCACT_MIR5123P	58552	1.15285878474391	0.661083298865511	1.58743667683612	
Nut10h.vs.Nut0h	enhancer	ENSG00000010278	CD9	12:6381669-6381891	12:6381468-6383810	12:6305102-6318727	12:6375942-6381961	maintained	JOHNSTONE_PARVB_TARGETS_3_UP,HELLER_HDAC_TARGETS_UP,P53_DN.V1_UP	73299	1.33117770349565	0.422384083559367	0.674480745185969	
Nut10h.vs.Nut0h	enhancer	ENSG00000010278	CD9	12:6381669-6381891	12:6381468-6383810	12:6305102-6318727	12:6375942-6381961	maintained	JOHNSTONE_PARVB_TARGETS_3_UP,HELLER_HDAC_TARGETS_UP,P53_DN.V1_UP	73299	1.33117770349565	0.422384083559367	0.674480745185969	
Nut10h.vs.Nut0h	enhancer	ENSG00000147883	CDKN2B	9:21833573-21833795	9:21826362-21838879	9:22008594-22011170	9:21826325-21836333	maintained	DANG_REGULATED_BY_MYC_DN	176078	0.796229168329062	0.705605736329802	0.352405626417915	
Nut10h.vs.Nut0h	enhancer	ENSG00000165410	CFL2	14:35312432-35312654	14:35311959-35313179	14:35183286-35185568	14:35311776-35316622	maintained	MIR153_3P,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR142_3P,MIR6124,HAND1_TARGET_GENES,MIR508_3P	128114	1.18222509027297	0.525310988326425	1.17391963992501	
Nut10h.vs.Nut0h	enhancer	ENSG00000144021	CIAO1	2:96766081-96766303	2:96765844-96766176	2:96930538-96932897	2:96763247-96770788	gained	MIR6124	165278		0.6092678455837		
Nut10h.vs.Nut0h	enhancer	ENSG00000125931	CITED1	X:71491804-71492026	X:71491268-71493672	X:71488734-71500075	X:71520175-71528421	maintained	DELYS_THYROID_CANCER_UP,CP2_02	35522	1.14378062214748	-0.02380372789473	1.05516990579072	
Nut10h.vs.Nut0h	enhancer	ENSG00000134852	CLOCK	4:56263934-56264156	4:56263093-56265104	4:56260662-56265138	4:56411438-56416026	maintained	MIR708_3P,MIR6885_3P,MIR142_3P,MIR8057,MIR4261,MIR203A_3P,MIR300,MIR381_3P,MIR147B_5P,MIR507,MIR4782_3P,MIR138_5P,ACATATC_MIR190,MIR3120_3P,MIR508_3P,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	149660	0.583056916674257	0.757228905173442	0.628447835187292	
Nut10h.vs.Nut0h	enhancer	ENSG00000104853	CLPTM1	19:45536227-45536449	19:45535959-45536810	19:45479555-45510608	19:45532271-45542963	gained	HELLER_HDAC_TARGETS_UP,EGR_Q6	78896	1.11967472713027	0.441301776017525	1.06435407205353	
Nut10h.vs.Nut0h	enhancer	ENSG00000153815	CMIP	16:81634026-81634248	16:81631980-81636112	16:81475083-81484443	16:81625847-81636764	maintained	MIR153_3P,CTATGCA_MIR153,ZFP3_TARGET_GENES	155762	1.39678450704458	0.678575774572301	0.752274307402392	
Nut10h.vs.Nut0h	enhancer	ENSG00000168763	CNNM3	2:97304009-97304231	2:97302625-97304639	2:97296519-97317826	2:97479267-97488636	gained	MIR203A_3P,MIR4668_5P,MIR519A_2_5P_MIR520B_5P	177462	0.228873751790103	0.355268267015795	0.109615420709542	
Nut10h.vs.Nut0h	enhancer	ENSG00000196739	COL27A1	9:117039051-117039273	9:117038517-117040306	9:116915368-116921473	9:117037748-117039387	maintained	AP1FJ_Q2,AP1_Q4,EGR_Q6,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	121722	1.67433998473175	0.0963170572392807	1.5893477728522	
Nut10h.vs.Nut0h	enhancer	ENSG00000225362	CT62	15:71740094-71740316	15:71739189-71741373	15:71406734-71408960	15:71732608-71742594	maintained		331972	1.20765852983376	0.0796782725380377	1.06128742183514	
Nut10h.vs.Nut0h	enhancer	ENSG00000261188	CTA-445C9.14	22:26889660-26889882	22:26889168-26890177	22:26902488-26921150	22:26882692-26898499	gained		18332	1.75864672304884	0.700788951502094	1.76645894929792	
Nut10h.vs.Nut0h	enhancer	ENSG00000248027	CTD-2383M3.1	11:100677953-100678175	11:100677622-100678800	11:100555342-100563301	11:100674555-100679080	maintained		118978	1.37974979143794	0.608064042716531	1.37025720177415	
Nut10h.vs.Nut0h	enhancer	ENSG00000259438	CTD-2650P22.1	15:52369280-52369502	15:52368629-52369804	15:52304095-52312338	15:52363502-52369420	maintained		57699	1.83577861867163	0.493263528390507	1.83577861867163	
Nut10h.vs.Nut0h	enhancer	ENSG00000259438	CTD-2650P22.1	15:52369280-52369502	15:52368629-52369804	15:52304095-52312338	15:52369421-52371123	maintained		57699	1.83577861867163	0.493263528390507	1.83577861867163	
Nut10h.vs.Nut0h	enhancer	ENSG00000144677	CTDSPL	3:37987562-37987784	3:37985940-37988771	3:37889807-37904998	3:37983810-37992184	gained	AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	84622	1.5674301180284	0.554926282250059	1.39404274933374	
Nut10h.vs.Nut0h	enhancer	ENSG00000143079	CTTNBP2NL	1:113188914-113189136	1:113187480-113189274	1:112933412-112943864	1:113177020-113192276	maintained	MIR4503,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR4465,MIR203A_3P,MIR544A	250622	1.41115511843245	0.560021957884294	1.21615210650485	
Nut10h.vs.Nut0h	enhancer	ENSG00000143079	CTTNBP2NL	1:113230062-113230284	1:113229858-113231182	1:112933412-112943864	1:113210686-113231964	maintained	MIR4503,LET_7F_2_3P,MIR1185_1_3P_MIR1185_2_3P,MIR4465,MIR203A_3P,MIR544A	291770	1.31158583244272	0.560021957884294	1.31158583244272	
Nut10h.vs.Nut0h	enhancer	ENSG00000068793	CYFIP1	15:22921352-22921574	15:22920453-22922883	15:22889714-22896358	15:22911252-22922597	maintained		29858	1.68053384671231	0.528601012116644	1.34978503409449	
Nut10h.vs.Nut0h	enhancer	ENSG00000187954	CYHR1	8:145673669-145673891	8:145672134-145675236	8:145666909-145674890	8:145678166-145704011	gained	EGR_Q6,GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	17680	1.13736562779871	0.759325583380494	0.588294502493052	
Nut10h.vs.Nut0h	enhancer	ENSG00000129562	DAD1	14:23308482-23308704	14:23308270-23308844	14:23057696-23058407	14:23304582-23318454	maintained	MIR1976	250018	0.719371660906376	1.08378176200256	0.719371660906376	0.0746508344212746
Nut10h.vs.Nut0h	enhancer	ENSG00000182108	DEXI	16:11591274-11591496	16:11588040-11592899	16:11035245-11038194	16:11578222-11592606	gained		554668	0.92163318529489	0.392893953233482	0.792988416505868	
Nut10h.vs.Nut0h	enhancer	ENSG00000083520	DIS3	13:74003908-74004130	13:74001815-74004938	13:73355605-73360045	13:73996831-74003975	gained	HOXA7_TARGET_GENES,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	647385	1.38816488555274	0.644052989365777	1.31454784221322	
Nut10h.vs.Nut0h	enhancer	ENSG00000107984	DKK1	10:54203290-54203512	10:54194893-54216209	10:54071909-54076116	10:54199517-54207146	maintained	PHONG_TNF_RESPONSE_VIA_P38_PARTIAL,MIR4503,TAZ_TARGET_GENES,P53_DN.V1_UP	129745	1.55270031663799	1.25775351513587	0.892486749720912	
Nut10h.vs.Nut0h	enhancer	ENSG00000104129	DNAJC17	15:40958615-40958837	15:40957845-40958993	15:40956131-40991010	15:41058322-41063691	gained		141349	0.913434517655825	0.253302510679157	0.913434517655825	
Nut10h.vs.Nut0h	enhancer	ENSG00000107554	DNMBP	10:101803191-101803413	10:101802539-101806734	10:101685703-101693208	10:101794859-101805578	maintained	JOHNSTONE_PARVB_TARGETS_3_UP,HOXA7_TARGET_GENES	33226	1.61567447609782	0.323697341882827	1.08937489262701	
Nut10h.vs.Nut0h	enhancer	ENSG00000107554	DNMBP	10:101803191-101803413	10:101802539-101806734	10:101755206-101773702	10:101794859-101805578	gained	JOHNSTONE_PARVB_TARGETS_3_UP,HOXA7_TARGET_GENES	33226	1.61567447609782	0.323697341882827	1.08937489262701	
Nut10h.vs.Nut0h	enhancer	ENSG00000134755	DSC2	18:28810592-28810814	18:28809854-28811858	18:28673964-28683628	18:28810368-28811950	maintained	DELYS_THYROID_CANCER_UP,MIR6774_5P,MIR379_3P_MIR411_3P,MIR635,CP2_02,MIR519A_2_5P_MIR520B_5P,MIR548A_3P,MIR548BC,MIR548E_3P,MIR548F_3P,MIR4495,MIR548AZ_3P,P53_DN.V1_UP	127925	0.754853001463094	0.578010196160048	0.644960343639573	
Nut10h.vs.Nut0h	enhancer	ENSG00000134755	DSC2	18:28810592-28810814	18:28809854-28811858	18:28673964-28683628	18:28810368-28811950	maintained	DELYS_THYROID_CANCER_UP,MIR6774_5P,MIR379_3P_MIR411_3P,MIR635,CP2_02,MIR519A_2_5P_MIR520B_5P,MIR548A_3P,MIR548BC,MIR548E_3P,MIR548F_3P,MIR4495,MIR548AZ_3P,P53_DN.V1_UP	127925	0.754853001463094	0.578010196160048	0.644960343639573	
Nut10h.vs.Nut0h	enhancer	ENSG00000125868	DSTN	20:17565048-17565270	20:17564794-17565299	20:17542510-17551506	20:17560300-17566673	gained	AP1FJ_Q2,AP1_Q4,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	15051		0.69000926474837		
Nut10h.vs.Nut0h	enhancer	ENSG00000106263	EIF3B	7:2276937-2277159	7:2276577-2277843	7:2271653-2281302	7:2390145-2400062	gained	HOXA7_TARGET_GENES,MIR6885_3P,EGR2_01	116273	1.6330922232012	0.278683025561018	1.61325187554438	
Nut10h.vs.Nut0h	enhancer	ENSG00000182580	EPHB3	3:184459033-184459255	3:184458255-184459480	3:184275459-184280993	3:184449572-184460828	maintained	DELYS_THYROID_CANCER_UP,ZFP3_TARGET_GENES,EGR2_01,GAGCCAG_MIR149,GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	179972	1.42302043273717	0.645674295635418	1.32092501274133	
Nut10h.vs.Nut0h	enhancer	ENSG00000089048	ESF1	20:13781438-13781660	20:13780088-13782287	20:13759014-13768440	20:13780959-13783691	gained		15617	1.64710533866618	0.636247918965312	1.58828216172134	
Nut10h.vs.Nut0h	enhancer	ENSG00000103067	ESRP2	16:68125675-68125897	16:68125315-68126324	16:68262534-68280544	16:68123164-68125854	maintained	PITX1_TARGET_GENES,EGR2_01,ZNF581_TARGET_GENES,HNF3ALPHA_Q6,CAGCACT_MIR5123P	146619	1.68308003906303	0.545508595836687	1.86766838898314	
Nut10h.vs.Nut0h	enhancer	ENSG00000219626	FAM228B	2:24307121-24307343	2:24305368-24308274	2:24295863-24302128	2:24303775-24318769	maintained		8236	0.786834496339559	1.0432601046486	0.408148307060056	
Nut10h.vs.Nut0h	enhancer	ENSG00000146267	FAXC	6:100284413-100284635	6:100283984-100285087	6:99795794-99798314	6:100282908-100286871	gained	MIR379_3P_MIR411_3P,MIR4668_5P	486186	2.1144223884539	0.106858449374053	2.43641097762338	
Nut10h.vs.Nut0h	enhancer	ENSG00000133393	FOPNL	16:16061356-16061578	16:16055739-16064046	16:15980084-15987977	16:16053015-16071403	gained	MIR3120_3P,MIR544A	78585	0.953444464130992	0.4401137965097	0.614166080055896	
Nut10h.vs.Nut0h	enhancer	ENSG00000133393	FOPNL	16:16130288-16130510	16:16129011-16131048	16:15980084-15987977	16:16125185-16132993	maintained	MIR3120_3P,MIR544A	147517	1.39484871087754	0.4401137965097	1.18907183938001	
Nut10h.vs.Nut0h	enhancer	ENSG00000133393	FOPNL	16:16162763-16162985	16:16161834-16163536	16:15980084-15987977	16:16153738-16187905	gained	MIR3120_3P,MIR544A	179992	1.25539803029368	0.4401137965097	1.1239715357452	
Nut10h.vs.Nut0h	enhancer	ENSG00000136877	FPGS	9:130328648-130328870	9:130315017-130332353	9:130554858-130558773	9:130324497-130332895	gained	HOXA7_TARGET_GENES	227717	0.590229279540206	0.223757717494446	0.352364102031263	
Nut10h.vs.Nut0h	enhancer	ENSG00000179163	FUCA1	1:24160677-24160899	1:24160668-24161153	1:24190943-24206180	1:24158257-24161405	gained		34396		0.991078277799573		
Nut10h.vs.Nut0h	enhancer	ENSG00000119514	GALNT12	9:101556045-101556267	9:101555098-101556057	9:101547875-101559465	9:101568921-101571709	maintained	DELYS_THYROID_CANCER_UP	13425	1.1225906495999	0.218578466669823	1.1225906495999	-0.413459123165821
Nut10h.vs.Nut0h	enhancer	ENSG00000168505	GBX2	2:236677844-236678066	2:236677046-236679270	2:237072120-237077830	2:236668675-236679268	gained	HNF3ALPHA_Q6,EGR_Q6	399457	2.25161166078202	0.259295446546203	2.27473922838421	
Nut10h.vs.Nut0h	enhancer	ENSG00000115486	GGCX	2:85638090-85638312	2:85636729-85641876	2:85787962-85789968	2:85616162-85640232	gained	MIR153_3P,ZNF581_TARGET_GENES,MIR138_5P	150869	0.59620175239383	0.58571211292162	0.345379787724755	
Nut10h.vs.Nut0h	enhancer	ENSG00000140632	GLYR1	16:4947408-4947630	16:4947218-4948042	16:4896332-4902451	16:4947499-4950234	gained	DANG_REGULATED_BY_MYC_DN,HELLER_HDAC_TARGETS_UP	49776	1.31758191692047	0.538474859635934	1.31758191692047	-0.171224895667628
Nut10h.vs.Nut0h	enhancer	ENSG00000115159	GPD2	2:157748979-157749201	2:157748853-157750854	2:157289370-157295334	2:157741462-157749402	gained	MIR708_3P,MIR3120_3P,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	457688	1.66516745888389	0.607933471176426	0.934637061914503	
Nut10h.vs.Nut0h	enhancer	ENSG00000104687	GSR	8:30561978-30562200	8:30559322-30564058	8:30577291-30588908	8:30550829-30568763	gained	TTGCWCAAY_CEBPB_02	23754	0.532034060968089	0.323992429653209	0.581527894028936	
Nut10h.vs.Nut0h	enhancer	ENSG00000197265	GTF2E2	8:30660980-30661202	8:30660363-30663027	8:30514629-30526394	8:30659081-30663183	maintained		144923	1.39473562970589	0.494267154105946	1.18336066606807	
Nut10h.vs.Nut0h	enhancer	ENSG00000188342	GTF2F2	13:45710959-45711181	13:45710393-45711842	13:45692578-45696074	13:45708757-45713142	maintained	KIM_WT1_TARGETS_12HR_DN,ZFP3_TARGET_GENES	16820		0.778703152717036	1.06153241007981	
Nut10h.vs.Nut0h	enhancer	ENSG00000100226	GTPBP1	22:39112455-39112677	22:39111325-39116267	22:39100343-39105594	22:39109332-39113583	maintained	MIR708_3P,MIR138_5P	11238	1.40412017063845	0.274703271236985	0.814245804406196	
Nut10h.vs.Nut0h	enhancer	ENSG00000149948	HMGA2	12:66064691-66064913	12:66063789-66065895	12:66212771-66220714	12:66064751-66065692	maintained	DELYS_THYROID_CANCER_UP,KIM_WT1_TARGETS_12HR_DN,MIR1976,MIR6885_3P,MIR142_3P,MIR4465,MIR8057,MIR4261,MIR203A_3P,MIR147B_5P,MIR519A_2_5P_MIR520B_5P,MIR544A,MIR508_3P	152709	0.747150897006646	0.687271699005238	0.56062127517241	
Nut10h.vs.Nut0h	enhancer	ENSG00000149948	HMGA2	12:66064691-66064913	12:66063789-66065895	12:66212771-66220714	12:66064751-66065692	maintained	DELYS_THYROID_CANCER_UP,KIM_WT1_TARGETS_12HR_DN,MIR1976,MIR6885_3P,MIR142_3P,MIR4465,MIR8057,MIR4261,MIR203A_3P,MIR147B_5P,MIR519A_2_5P_MIR520B_5P,MIR544A,MIR508_3P	152709	0.747150897006646	0.687271699005238	0.56062127517241	
Nut10h.vs.Nut0h	enhancer	ENSG00000149948	HMGA2	12:66064691-66064913	12:66063789-66065895	12:66212771-66220714	12:66064751-66065692	maintained	DELYS_THYROID_CANCER_UP,KIM_WT1_TARGETS_12HR_DN,MIR1976,MIR6885_3P,MIR142_3P,MIR4465,MIR8057,MIR4261,MIR203A_3P,MIR147B_5P,MIR519A_2_5P_MIR520B_5P,MIR544A,MIR508_3P	152709	0.747150897006646	0.687271699005238	0.56062127517241	
Nut10h.vs.Nut0h	enhancer	ENSG00000120093	HOXB3	17:46204840-46205062	17:46203415-46205710	17:46660464-46668809	17:46201386-46210909	gained	chr17q21,HNF3ALPHA_Q6	477723	1.63545483003983	0.464069415833176	1.07924662705651	
Nut10h.vs.Nut0h	enhancer	ENSG00000100360	IFT27	22:36966123-36966345	22:36965827-36966772	22:37171394-37172435	22:36961095-36970402	maintained	GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	206466	0.73874649270787	0.0952541879670698	0.836287854094534	
Nut10h.vs.Nut0h	enhancer	ENSG00000168811	IL12A	3:159599668-159599890	3:159599380-159600332	3:159704236-159710009	3:159598919-159603079	maintained		106358	1.69890892806092	0.275045015701149	1.59700040368923	
Nut10h.vs.Nut0h	enhancer	ENSG00000119669	IRF2BPL	14:77385085-77385307	14:77383004-77387345	14:77491237-77502860	14:77368345-77389624	gained	MIR507,EGR_Q6	110238	0.956318450489243	0.43844826644988	0.541019449263395	
Nut10h.vs.Nut0h	enhancer	ENSG00000119669	IRF2BPL	14:77404547-77404769	14:77403966-77405145	14:77491237-77502860	14:77403900-77409092	maintained	MIR507,EGR_Q6	90776	0.991536989909438	0.43844826644988	0.857924524532103	
Nut10h.vs.Nut0h	enhancer	ENSG00000119669	IRF2BPL	14:77425681-77425903	14:77418513-77432194	14:77491237-77502860	14:77422078-77448185	maintained	MIR507,EGR_Q6	69642	0.534297666189173	0.43844826644988	0.12434815845002	
Nut10h.vs.Nut0h	enhancer	ENSG00000167702	KIFC2	8:145673669-145673891	8:145672134-145675236	8:145666909-145674890	8:145678166-145704011	gained	EGR_Q6	17246	1.13736562779871	0.759325583380494	0.588294502493052	
Nut10h.vs.Nut0h	enhancer	ENSG00000049130	KITLG	12:89328215-89328437	12:89311289-89332549	12:88974496-88975469	12:89328120-89333537	maintained	KIM_WT1_TARGETS_12HR_DN,MIR4291,MIR203A_3P	353298	1.00948413886549	0.590346952881826	0.607410861437192	
Nut10h.vs.Nut0h	enhancer	ENSG00000162755	KLHDC9	1:161044490-161044712	1:161043383-161045032	1:161037045-161052923	1:161067306-161076002	maintained	ZFP3_TARGET_GENES	23150	2.11710196093137	0.403009607892043	1.82768577564452	
Nut10h.vs.Nut0h	enhancer	ENSG00000172086	KRCC1	2:88491158-88491380	2:88491164-88491574	2:88354752-88358194	2:88482110-88500277	gained	MIR379_3P_MIR411_3P,EGR_Q6	135621		0.0940008189255578		
Nut10h.vs.Nut0h	enhancer	ENSG00000171346	KRT15	17:39113110-39113332	17:39104539-39117311	17:39664327-39688134	17:39110923-39115655	gained	chr17q21,DELYS_THYROID_CANCER_UP,P53_DN.V1_UP	565960	1.54732725432257	0.882951643636995	0.697184556501852	
Nut10h.vs.Nut0h	enhancer	ENSG00000171346	KRT15	17:39113110-39113332	17:39104539-39117311	17:39664327-39688134	17:39110923-39115655	gained	chr17q21,DELYS_THYROID_CANCER_UP,P53_DN.V1_UP	565960	1.54732725432257	0.882951643636995	0.697184556501852	
Nut10h.vs.Nut0h	enhancer	ENSG00000171345	KRT19	17:39113110-39113332	17:39104539-39117311	17:39664327-39688134	17:39110923-39115655	gained	chr17q21,DELYS_THYROID_CANCER_UP,JOHNSTONE_PARVB_TARGETS_3_UP,AP1_Q4,P53_DN.V1_UP,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	571739	1.54732725432257	0.882951643636995	0.697184556501852	
Nut10h.vs.Nut0h	enhancer	ENSG00000171345	KRT19	17:39113110-39113332	17:39104539-39117311	17:39664327-39688134	17:39110923-39115655	gained	chr17q21,DELYS_THYROID_CANCER_UP,JOHNSTONE_PARVB_TARGETS_3_UP,AP1_Q4,P53_DN.V1_UP,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	571739	1.54732725432257	0.882951643636995	0.697184556501852	
Nut10h.vs.Nut0h	enhancer	ENSG00000171345	KRT19	17:39113110-39113332	17:39104539-39117311	17:39664327-39688134	17:39110923-39115655	gained	chr17q21,DELYS_THYROID_CANCER_UP,JOHNSTONE_PARVB_TARGETS_3_UP,AP1_Q4,P53_DN.V1_UP,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	571739	1.54732725432257	0.882951643636995	0.697184556501852	
Nut10h.vs.Nut0h	enhancer	ENSG00000135862	LAMC1	1:182931843-182932065	1:182931754-182932521	1:182989144-182996819	1:182929932-182935609	maintained	DANG_REGULATED_BY_MYC_DN,PHONG_TNF_RESPONSE_VIA_P38_PARTIAL,MIR153_3P,CTATGCA_MIR153,MIR6885_3P,MIR4261,MIR147B_5P,AP1FJ_Q2,AP1_Q4,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN,AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2	60241	1.25132302525805	0.524771119207024	1.37848713538069	
